candidateId,value,universidad homologada
630633fa1e599d0009d6dee0,Ucv,UNIVERSIDAD CÉSAR VALLEJO SAC
630633fa1e599d0009d6dee0,José Gálvez,JOSÉ GÁLVEZ
63063bda29da5b00089fb224,Universidad Peruana De Ciencias Aplicadas - Upc,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS SAC
63063bda29da5b00089fb224,Centro Peruano De  Estudios Bancarios - Cepeban,CENTRO PERUANO DE  ESTUDIOS BANCARIOS  CEPEBAN
630644da1e599d0009d6e2f4,Instituto De Formación Bancaria - Ifb,INSTITUTO DE FORMACIÓN BANCARIA  IFB
63064ec3d7fa700008e7ed19,Certus,CERTUS
63064fc2e86a980008de8c83,Cepeban,CEPEBAN
630653281e599d0009d6e817,Ifb Certus,IFB CERTUS
63065b8529da5b00089fbb2f,Instituto Superior Sise,INSTITUTO SUPERIOR SISE
63065d9d0b25100008421575,Argentina,ARGENTINA
630665b8594e18004af047fc,Ifb Certus,IFB CERTUS
630665b8594e18004af047fc,"I. E 00 María Auxiliadora, Cercado De Lima",I E 00 MARÍA AUXILIADORA CERCADO DE LIMA
630665b8594e18004af04803,Zegel Ipae,ZEGEL IPAE
630665b8594e18004af04810,Instituto Superior Tecnologico Idat,INSTITUTO SUPERIOR TECNOLOGICO IDAT
630665b8594e18004af04816,Universidad Privada Del Norte - Upn,UNIVERSIDAD PRIVADA DEL NORTE SAC
630665b8594e18004af0481e,Ifb Certus,IFB CERTUS
630665b8594e18004af04825,Universidad Nacional Agraria La Molina,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA
630665b8594e18004af0482e,Instituto Superior Sise,INSTITUTO SUPERIOR SISE
630665b8594e18004af04835,Universidad Privada San Juan Bautista,UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA SAC
630665b8594e18004af0483b,Instituto De Educación Superior Privado Certus,INSTITUTO DE EDUCACIÓN SUPERIOR PRIVADO CERTUS
630665b8594e18004af04842,Universidad Peruana De Ciencias Aplicadas (upc),UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS SAC
630665b8594e18004af0484f,Idat,IDAT
630665b8594e18004af0484f,Manuel Scorza Torres,MANUEL SCORZA TORRES
630665b8594e18004af04856,Instituto Cepeban,INSTITUTO CEPEBAN
630665b8594e18004af0485d,Universidad De Ciencias Aplicadas,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS SAC
630665b8594e18004af04864,Universidad Peruana De Ciencias Aplicadas - Upc,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS SAC
630665b8594e18004af0486d,Certus,CERTUS
630665b8594e18004af04876,Certus,CERTUS
630665b8594e18004af0487f,Sise,SISE
630665b8594e18004af04885,Ifb Certus,IFB CERTUS
630665b8594e18004af0488c,Certus,CERTUS
630665b8594e18004af04893,San Juan De Siguas,SAN JUAN DE SIGUAS
630665b8594e18004af0489e,Universidad Cesar Vallejo,UNIVERSIDAD CÉSAR VALLEJO SAC
630665b8594e18004af048a6,Universidad Nacional De San Agustín,UNIVERSIDAD NACIONAL DE SAN MARTÍN
630665b8594e18004af048ae,Alonso De Alvarado,ALONSO DE ALVARADO
630665b8594e18004af048b4,Ifb Certus,IFB CERTUS
630665b8594e18004af048b4,Instituto Superior Sise,INSTITUTO SUPERIOR SISE
630665b8594e18004af048bd,Instituto Sise,INSTITUTO SISE
630665b8594e18004af048c3,Instituto San Ignacio Del Loyola,INSTITUTO SAN IGNACIO DEL LOYOLA
630665b8594e18004af048ca,Universidad Tecnológica Del Perú,UNIVERSIDAD TECNOLÓGICA DEL PERÚ SAC
630665b8594e18004af048ca,Atento,ATENTO
630665b8594e18004af048d7,Universidad Nacional Mayor De San Marcos,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS
630665b8594e18004af048df,Ifb Certus,IFB CERTUS
630665b8594e18004af048df,Ie Jhon F Kennedy,IE JHON F KENNEDY
630665b8594e18004af048e7,Upn,UNIVERSIDAD PRIVADA DEL NORTE SAC
630665b8594e18004af048e7,Iestp Cepea,IESTP CEPEA
630665b8594e18004af048f0,Certus,CERTUS
630665b8594e18004af048f7,Certus Ifb,CERTUS IFB
630665b8594e18004af048fe,Universidad Privada San Juan Bautista,UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA SAC
630665b8594e18004af048fe,I.e.p.p San Vicente De Paúl-ica,IEPP SAN VICENTE DE PAÚLICA
630665b8594e18004af04907,Universidad Tecnológica Del Perú,UNIVERSIDAD TECNOLÓGICA DEL PERÚ SAC
630665b8594e18004af0490e,Instituto San Ignacio De Loyola,INSTITUTO SAN IGNACIO DE LOYOLA
630665b8594e18004af04915,Certus,CERTUS
630665b8594e18004af0491b,Certus,CERTUS
630665b8594e18004af04922,Instituto De Educación Superior Tecnológico Privado “khipu”,INSTITUTO DE EDUCACIÓN SUPERIOR TECNOLÓGICO PRIVADO KHIPU
630665b8594e18004af04922,I.e.m. Diego Quispe Tito,IEM DIEGO QUISPE TITO
630665b8594e18004af0492b,Uladech,ULADECH
630665b8594e18004af04933,Instituto De Formación Bancaria - Ifb,INSTITUTO DE FORMACIÓN BANCARIA  IFB
630665b8594e18004af0493a,Universidad Peruana De Ciencias Aplicada,UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS SAC
630665b8594e18004af04940,Cepeban,CEPEBAN
630665b8594e18004af04947,Universidad Privada Del Norte,UNIVERSIDAD PRIVADA DEL NORTE SAC
